time,ev,mode,grill,tgt,u,fan,aug,ign,p1,p2,p3,p4,rssi,note
+2,E,Off,90.1,225,0.15,0,0,0,91.0,,,,0,RTD probe 2 FAULT (auto)
+2,E,Off,90.1,225,0.15,0,0,0,91.0,,,,0,RTD probe 3 FAULT (auto)
+2,E,Off,90.1,225,0.15,0,0,0,91.0,,,,0,RTD probe 4 FAULT (auto)
2026-07-15 14:49:59,E,Ignite,85.9,225,0.15,0,0,0,84.1,,,,-60,MODE Off>Ignite (web)
2026-07-15 14:49:59,S,Ignite,85.9,225,0.15,0,0,0,84.1,,,,-58,
2026-07-15 14:50:00,E,Ignite,85.9,225,0.15,1,0,0,84.1,,,,-59,FAN ON (auto)
2026-07-15 14:50:04,E,Ignite,85.9,225,0.15,1,1,1,84.3,,,,-62,IGNITER ON (auto)
2026-07-15 14:50:09,E,Off,86.0,225,0.15,0,0,0,84.3,,,,-56,MODE Ignite>Off (web)
2026-07-15 14:50:09,E,Off,86.0,225,0.15,0,0,0,84.3,,,,-58,IGNITER OFF (auto)
2026-07-15 14:50:09,E,Off,86.0,225,0.15,0,0,0,84.3,,,,-58,FAN OFF (auto)
