time,ev,mode,grill,tgt,u,fan,aug,ign,p1,p2,p3,p4,rssi,note
+2,E,Off,80.8,225,0.15,0,0,0,78.6,,,,0,RTD probe 2 FAULT (auto)
+2,E,Off,80.8,225,0.15,0,0,0,78.6,,,,0,RTD probe 3 FAULT (auto)
+2,E,Off,80.8,225,0.15,0,0,0,78.6,,,,0,RTD probe 4 FAULT (auto)
2026-07-15 14:33:54,E,Off,93.5,225,0.15,0,0,0,91.3,,,,-58,PROFILE DELETE prof_20260715-1157_Brisket.ppc (web)
2026-07-15 14:33:59,E,Off,93.7,225,0.15,0,0,0,91.4,,,,-57,PROFILE DELETE prof_20260715-1134_Brisket.ppc (web)
2026-07-15 14:34:18,E,Ignite,93.9,225,0.15,0,0,0,91.6,,,,-55,MODE Off>Ignite (web)
2026-07-15 14:34:19,S,Ignite,93.9,225,0.15,0,0,0,91.6,,,,-53,
2026-07-15 14:34:20,E,Ignite,93.9,225,0.15,1,0,0,91.6,,,,-57,FAN ON (auto)
2026-07-15 14:34:24,E,Ignite,93.9,225,0.15,1,1,1,91.7,,,,-57,IGNITER ON (auto)
2026-07-15 14:34:27,E,Off,93.9,225,0.15,0,0,0,91.7,,,,-57,MODE Ignite>Off (web)
2026-07-15 14:34:28,E,Off,93.9,225,0.15,0,0,0,91.7,,,,-56,IGNITER OFF (auto)
2026-07-15 14:34:28,E,Off,93.9,225,0.15,0,0,0,91.7,,,,-56,FAN OFF (auto)
