time,ev,mode,grill,tgt,u,fan,aug,ign,p1,p2,p3,p4,rssi,note
23:13:31,E,Off,77.3,260,0.15,0,0,0,86.4,,,,-62,TARGET 260 (web)
23:13:32,E,Off,77.3,265,0.15,0,0,0,86.4,,,,-58,TARGET 265 (web)
23:13:32,E,Off,77.4,270,0.15,0,0,0,86.5,,,,-60,TARGET 270 (web)
23:13:33,E,Off,77.4,275,0.15,0,0,0,86.5,,,,-58,TARGET 275 (web)
23:13:33,E,Off,77.4,275,0.15,0,0,0,86.5,,,,-57,TARGET 275 (web)
23:13:36,E,Ignite,77.5,275,0.15,0,0,0,86.6,,,,-58,MODE Off>Ignite (web)
23:13:37,E,Ignite,77.5,275,0.15,1,0,0,86.6,,,,-59,FAN ON (auto)
23:13:37,S,Ignite,77.5,275,0.15,1,0,0,86.6,,,,-61,
23:13:40,E,Ignite,77.4,275,0.15,1,1,1,86.6,,,,-59,IGNITER ON (auto)
23:14:07,S,Ignite,77.4,275,0.15,1,0,1,87.1,,,,-59,
23:14:38,S,Ignite,77.7,275,0.15,1,1,1,87.5,,,,-58,
23:15:08,S,Ignite,77.8,275,0.15,1,0,1,87.8,,,,-59,
23:15:08,E,Ignite,77.8,275,0.15,1,0,1,87.9,,,,-59,PROBE 2 cfg tg=160 al=100 Brisket/Whiskey Shot (web)
23:15:24,E,Ignite,77.7,275,0.15,1,0,1,87.9,,,,-60,PROBE 1 cfg tg=180 al=160 Brisket/Margarita (web)
23:15:38,S,Ignite,77.3,275,0.15,1,1,1,87.5,,,,-59,
23:15:44,E,Ignite,77.3,300,0.15,1,1,1,87.7,,,,-58,TARGET 300 (web)
23:16:01,E,Off,77.1,300,0.15,0,0,0,87.7,,,,-63,MODE Ignite>Off (web)
23:16:01,E,Off,77.1,300,0.15,0,0,0,87.7,,,,-60,IGNITER OFF (auto)
23:16:01,E,Off,77.1,300,0.15,0,0,0,87.7,,,,-60,FAN OFF (auto)
