"Refs","Value","Footprint","Qty","DNP"
"J1","FH26W-39S-0.3SHW_60_","REV_G_Hirose:HRS_FH26W-39S-0.3SHW_60_","1",""
"J2","INTEGRAL_MALE_FPC_39P_BACK","","1",""
