0,0.12629
1.6e-07,0.11947
3.2e-07,0.11605
4.8e-07,0.10923
6.4e-07,0.1024
8e-07,0.098986
9.6e-07,0.092159
1.12e-06,0.088746
1.28e-06,0.085333
1.44e-06,0.085333
1.6e-06,0.078506
1.76e-06,0.075093
1.92e-06,0.075093
2.08e-06,0.068266
2.24e-06,0.061439
2.4e-06,0.068266
2.56e-06,0.058026
2.72e-06,0.0512
2.88e-06,0.0512
3.04e-06,0.044373
3.2e-06,0.037546
3.36e-06,0.027306
3.52e-06,0.027306
3.68e-06,0.02048
3.84e-06,0.013653
4e-06,0.01024
4.16e-06,0.0034133
4.32e-06,0.0068266
4.48e-06,0
4.64e-06,-0.01024
4.8e-06,-0.0068266
4.96e-06,-0.0034133
5.12e-06,-0.013653
5.28e-06,-0.017067
5.44e-06,-0.013653
5.6e-06,-0.02048
5.76e-06,-0.027306
5.92e-06,-0.03072
6.08e-06,-0.037546
6.24e-06,-0.044373
6.4e-06,-0.0512
6.56e-06,-0.054613
6.72e-06,-0.061439
6.88e-06,-0.068266
7.04e-06,-0.068266
7.2e-06,-0.071679
7.36e-06,-0.081919
7.52e-06,-0.081919
7.68e-06,-0.081919
7.84e-06,-0.092159
8e-06,-0.085333
8.16e-06,-0.092159
8.32e-06,-0.095572
8.48e-06,-0.098986
8.64e-06,-0.098986
8.8e-06,-0.10581
8.96e-06,-0.10923
9.12e-06,-0.11947
9.28e-06,-0.12288
9.44e-06,-0.12971
9.6e-06,-0.13312
9.76e-06,-0.13653
9.92e-06,-0.14677
1.008e-05,-0.15019
1.024e-05,-0.1536
1.04e-05,-0.1536
1.056e-05,-0.16043
1.072e-05,-0.16043
1.088e-05,-0.16384
1.104e-05,-0.16384
1.12e-05,-0.17408
1.136e-05,-0.1809
1.152e-05,-0.17749
1.168e-05,-0.15701
1.184e-05,-0.17067
1.2e-05,0.023893
1.216e-05,0.23552
1.232e-05,0.19797
1.248e-05,0.17749
1.264e-05,0.16384
1.28e-05,0.16384
1.296e-05,0.15701
1.312e-05,0.15701
1.328e-05,0.14336
1.344e-05,0.14336
1.36e-05,0.13653
1.376e-05,0.13653
1.392e-05,0.13312
1.408e-05,0.13653
1.424e-05,0.12971
1.44e-05,0.12971
1.456e-05,0.11605
1.472e-05,0.11947
1.488e-05,0.11264
1.504e-05,0.10923
1.52e-05,0.10581
1.536e-05,0.095572
1.552e-05,0.088746
1.568e-05,0.078506
1.584e-05,0.081919
1.6e-05,0.071679
1.616e-05,0.068266
1.632e-05,0.064853
1.648e-05,0.061439
1.664e-05,0.04096
1.68e-05,0.054613
1.696e-05,0.047786
1.712e-05,0.0512
1.728e-05,0.044373
1.744e-05,0.044373
1.76e-05,0.03072
1.776e-05,0.034133
1.792e-05,0.03072
1.808e-05,0.02048
1.824e-05,0.02048
1.84e-05,0.01024
1.856e-05,0.0034133
1.872e-05,0
1.888e-05,-0.0068266
1.904e-05,-0.0068266
1.92e-05,-0.013653
1.936e-05,-0.017067
1.952e-05,-0.023893
1.968e-05,-0.023893
1.984e-05,-0.027306
2e-05,-0.054613
2.016e-05,-0.037546
2.032e-05,-0.037546
2.048e-05,-0.044373
